名前を略さずに書きなさい。,Recognition,(3),Japanese::Vocabulary,2010-09-27,(new),(new),0
飴,Recognition,(),Japanese::Vocabulary,2010-11-09,250%,(learning),2
大勢,Recognition,(),Japanese::Vocabulary,2010-11-09,250%,(learning),4
咲く,Recognition,(),Japanese::Vocabulary,2010-11-09,250%,(learning),1
石鹸,Recognition,(367),Japanese::Vocabulary,2010-11-09,(new),(new),0
細い,Recognition,(),Japanese::Vocabulary,2010-11-09,250%,(learning),1
留守,Recognition,(),Japanese::Vocabulary,2010-12-08,250%,(learning),1
状況,Recognition,(),Japanese::Vocabulary,2011-02-21,250%,(learning),1
除去,Recognition,(),Japanese::Vocabulary,2011-02-22,250%,(learning),2
含羞む,Recognition,(865),Japanese::Vocabulary,2011-03-24,(new),(new),0
驚く,Recognition,(893),Japanese::Vocabulary,2011-05-02,(new),(new),0
大喧嘩,Recognition,(901),Japanese::Vocabulary,2011-05-05,(new),(new),0
臍,Recognition,(),Japanese::Vocabulary,2011-05-05,250%,(learning),1
繋ぐ,Recognition,(909),Japanese::Vocabulary,2011-05-05,(new),(new),0
過程,Recognition,(),Japanese::Vocabulary,2011-07-26,250%,(learning),1
実施,Recognition,(),Japanese::Vocabulary,2011-07-26,250%,(learning),1
溶接,Recognition,(),Japanese::Vocabulary,2011-07-26,250%,(learning),1
傾斜,Recognition,(),Japanese::Vocabulary,2011-07-26,250%,(learning),1
保管,Recognition,(960),Japanese::Vocabulary,2011-07-26,(new),(new),0
適宜,Recognition,(),Japanese::Vocabulary,2012-05-10,250%,(learning),1
眉,Recognition,(1141),Japanese::Vocabulary,2012-06-27,(new),(new),0
遠慮,Recognition,(),Japanese::Vocabulary,2012-10-15,0%,(learning),1
掃除,Recognition,(2013-07-03),Japanese::Vocabulary,2010-11-09,135%,1 day,16
衆,Recognition,(2012-09-17),Japanese::Vocabulary,2011-05-02,250%,1 day,3
幅,Recognition,(2014-09-12),Japanese::Vocabulary,2011-07-26,210%,1 day,8
調整,Recognition,(2012-09-19),Japanese::Vocabulary,2011-07-26,180%,1 day,11
転ばぬ先の杖,Recognition,(2012-07-27),Japanese::Vocabulary,2012-01-06,250%,1 day,4
探す,Recognition,(2013-03-21),Japanese::Vocabulary,2012-10-15,130%,1 day,25
支度,Recognition,(2013-03-30),Japanese::Vocabulary,2012-10-15,130%,1 day,26
承知,Recognition,(2013-11-02),Japanese::Vocabulary,2012-10-15,130%,1 day,28
注射,Recognition,(2013-05-28),Japanese::Vocabulary,2012-10-15,230%,1 day,4
痩せる,Recognition,(2013-07-02),Japanese::Vocabulary,2012-10-15,210%,1 day,6
輸入,Recognition,(2013-07-02),Japanese::Vocabulary,2012-10-15,210%,1 day,6
揺れる,Recognition,(2013-01-19),Japanese::Vocabulary,2012-10-15,200%,1 day,8
諦める,Recognition,(2013-11-02),Japanese::Vocabulary,2012-10-15,195%,1 day,11
預ける,Recognition,(2013-10-29),Japanese::Vocabulary,2012-10-15,140%,1 day,14
与える,Recognition,(2013-10-25),Japanese::Vocabulary,2012-10-15,210%,1 day,7
意思,Recognition,(2013-12-14),Japanese::Vocabulary,2012-10-15,130%,1 day,18
違反,Recognition,(2013-10-25),Japanese::Vocabulary,2012-10-15,210%,1 day,7
柄,Recognition,(2014-10-04),Japanese::Vocabulary,2012-10-15,195%,1 day,9
影響,Recognition,(2013-10-25),Japanese::Vocabulary,2012-10-15,210%,1 day,7
演技,Recognition,(2014-02-01),Japanese::Vocabulary,2012-10-15,170%,1 day,7
援助,Recognition,(2013-10-25),Japanese::Vocabulary,2012-10-15,165%,1 day,9
横断,Recognition,(2013-10-25),Japanese::Vocabulary,2012-10-15,180%,1 day,9
及ぼす,Recognition,(2013-10-25),Japanese::Vocabulary,2012-10-15,195%,1 day,9
解釈,Recognition,(2013-10-29),Japanese::Vocabulary,2012-10-15,160%,1 day,10
回復,Recognition,(2014-10-04),Japanese::Vocabulary,2012-10-15,180%,1 day,9
額,Recognition,(2014-10-02),Japanese::Vocabulary,2012-10-15,130%,1 day,31
覚悟,Recognition,(2014-02-12),Japanese::Vocabulary,2012-10-15,130%,1 day,22
拡大,Recognition,(2013-11-03),Japanese::Vocabulary,2012-10-15,180%,1 day,9
環境,Recognition,(2014-04-12),Japanese::Vocabulary,2012-10-15,210%,1 day,6
記憶,Recognition,(2014-06-20),Japanese::Vocabulary,2012-10-15,130%,1 day,35
岸,Recognition,(2013-11-02),Japanese::Vocabulary,2012-10-15,175%,1 day,9
機能,Recognition,(2013-10-29),Japanese::Vocabulary,2012-10-15,195%,1 day,7
金額,Recognition,(2014-02-28),Japanese::Vocabulary,2012-10-15,230%,1 day,5
叫ぶ,Recognition,(2014-09-10),Japanese::Vocabulary,2014-03-03,210%,1 day,12
当たり　辺り　周り　回り,Recognition,2014-10-16,Japanese,2014-10-03,230%,1 day,6
扱う,Recognition,(2013-10-30),Japanese::Vocabulary,2012-10-15,145%,2 days,12
偉大,Recognition,(2013-10-26),Japanese::Vocabulary,2012-10-15,170%,2 days,8
一層,Recognition,(2013-10-26),Japanese::Vocabulary,2012-10-15,185%,2 days,7
依頼,Recognition,(2013-10-26),Japanese::Vocabulary,2012-10-15,215%,2 days,6
印象,Recognition,(2013-10-26),Japanese::Vocabulary,2012-10-15,215%,2 days,6
飼う,Recognition,(2013-11-01),Japanese::Vocabulary,2012-10-15,180%,2 days,9
数える,Recognition,(2013-10-30),Japanese::Vocabulary,2012-10-15,200%,2 days,7
機嫌,Recognition,(2013-10-30),Japanese::Vocabulary,2012-10-15,195%,2 days,7
期待,Recognition,(2013-10-30),Japanese::Vocabulary,2012-10-15,215%,2 days,6
奇妙,Recognition,(2013-11-01),Japanese::Vocabulary,2012-10-15,195%,2 days,8
器用,Recognition,(2013-10-30),Japanese::Vocabulary,2012-10-15,215%,2 days,5
教授,Recognition,(2013-10-30),Japanese::Vocabulary,2012-10-15,215%,2 days,5
共通,Recognition,(2013-10-30),Japanese::Vocabulary,2012-10-15,215%,2 days,6
塗る,Recognition,2014-10-17,Japanese::Vocabulary,2012-10-15,130%,3 days,19
踏む,Recognition,2014-10-19,Japanese::Vocabulary,2012-10-15,180%,3 days,14
貿易,Recognition,(2013-10-31),Japanese::Vocabulary,2012-10-15,175%,3 days,10
